title;title_norm;message;message_norm;tokens;features;entities;type;source;url_review
Pastor Sérgio Von Helder, que chutou santa, não virou católico;pastor sergio von helder, que chutou santa, nao virou catolico;;;['pastor', 'sergio', 'von', 'helder', ',', 'que', 'chutou', 'santa', ',', 'nao', 'virou', 'catolico'];{'len': 12, 1: {'token': 'pastor', 'lemma': 'pastor', 'POS': 'NOUN'}, 2: {'token': 'sergio', 'lemma': 'sergio', 'POS': 'PROPN'}, 3: {'token': 'von', 'lemma': 'von', 'POS': 'PROPN'}, 4: {'token': 'helder', 'lemma': 'helder', 'POS': 'VERB'}, 5: {'token': ',', 'lemma': ',', 'POS': 'PUNCT'}, 6: {'token': 'que', 'lemma': 'que', 'POS': 'PRON'}, 7: {'token': 'chutou', 'lemma': 'chutar', 'POS': 'VERB'}, 8: {'token': 'santa', 'lemma': 'santo', 'POS': 'ADJ'}, 9: {'token': ',', 'lemma': ',', 'POS': 'PUNCT'}, 10: {'token': 'nao', 'lemma': 'nao', 'POS': 'ADV'}, 11: {'token': 'virou', 'lemma': 'virar', 'POS': 'VERB'}, 12: {'token': 'catolico', 'lemma': 'catolico', 'POS': 'NOUN'}};[Pastor Sérgio Von Helder];fake;boatos.org;https://www.boatos.org/religiao/pastor-sergio-von-helder-que-chutou-santa-nao-virou-catolico.html 
Lulinha, filho de Lula, comprou avião Gulfstream por 100 milhões de reais ;lulinha, filho de lula, comprou aviao gulfstream por 100 milhoes de reais ;;;['lulinha', ',', 'filho', 'de', 'lula', ',', 'comprou', 'aviao', 'gulfstream', 'por', '100', 'milhoes', 'de', 'reais'];{'len': 14, 1: {'token': 'lulinha', 'lemma': 'lula', 'POS': 'NOUN'}, 2: {'token': ',', 'lemma': ',', 'POS': 'PUNCT'}, 3: {'token': 'filho', 'lemma': 'filhar', 'POS': 'NOUN'}, 4: {'token': 'de', 'lemma': 'de', 'POS': 'ADP'}, 5: {'token': 'lula', 'lemma': 'lula', 'POS': 'PROPN'}, 6: {'token': ',', 'lemma': ',', 'POS': 'PUNCT'}, 7: {'token': 'comprou', 'lemma': 'comprar', 'POS': 'VERB'}, 8: {'token': 'aviao', 'lemma': 'aviao', 'POS': 'NOUN'}, 9: {'token': 'gulfstream', 'lemma': 'gulfstream', 'POS': 'VERB'}, 10: {'token': 'por', 'lemma': 'por', 'POS': 'ADP'}, 11: {'token': '100', 'lemma': '100', 'POS': 'NUM'}, 12: {'token': 'milhoes', 'lemma': 'milhoes', 'POS': 'NOUN'}, 13: {'token': 'de', 'lemma': 'de', 'POS': 'ADP'}, 14: {'token': 'reais', 'lemma': 'real', 'POS': 'NOUN'}};[Lula, Gulfstream];fake;boatos.org;https://www.boatos.org/politica/lulinha-aviao-gulfstream-giii.html 
Lulinha não comprou Fazenda Fortaleza por 47 milhões;lulinha nao comprou fazenda fortaleza por 47 milhoes;O Novo Mega Campeão do Brasil de enriquecimento súbito é o proprietário desta Fazenda. Fazenda Fortaleza comprada e certificada em Cartório de Registro de Imóveis . Proprietário: FÁBIO LUIS LULA DA SILVA (isso mesmo) Propriedade: Fazenda na região de Valparaíso/SP Preço: 47 milhões de reaisPois é, o Lulinha, o filho do Presidente Lula, que há 05 anos era subempregado do Zoológico em São Paulo, agora acabou de comprar a fazenda Fortaleza (de porteira fechada) localizada às margens da rodovia Marechal Rondon, município de Valparaíso-SP, de propriedade do Sr. José Carlos Prata Cunha, um dos maiores produtores de boi Nelore do Brasil, pela simples bagatela de R$ 47.000.000,00 (quarenta e sete milhões de reais).O impressionante nesta trajetória de sucesso e rara inteligência é que de um salário de R$ 1.500,00 passou a proprietário, de uma vez só, de um patrimônio de 47 Milhões. O que levaria 2.612 anos. Veja só que competência, logo depois de comprar, levou essa fazenda a ser a primeira a receber o Certificado de Exportação de carne para Europa. Mas não fica só nisso a competência deste EMPREENDEDOR de sucesso, e que EMPREENDEDOR…No Pará nas regiões de Redenção , Marabá e Carajás, ELE comprou de Benedito Mutran Filho, herdeiro do conhecido Bené Mutran (homem forte da castanha) várias fazendas totalizando R$ 100.000.000,00 isso mesmo. Cem milhões de reais. Sócios no negócio: Duda Mendonça e Daniel Dantas. DEPOIS PERGUNTAM PORQUE ESSA BAGAÇA DE BRASIL NÃO VAI PRA FRENTE!!! Pra “PQP” com essas m…! E ninguém faz nada???;o novo mega campeao do brasil de enriquecimento subito e o proprietario desta fazenda. fazenda fortaleza comprada e certificada em cartorio de registro de imoveis .proprietario: fabio luis lula da silva (isso mesmo)propriedade: fazenda na regiao de valparaiso/sppreco: 47 milhoes de reaispois e, o lulinha, o filho do presidente lula, que ha 05 anos era subempregado do zoologico em sao paulo, agora acabou de comprar a fazenda fortaleza (de porteira fechada) localizada as margens da rodovia marechal rondon, municipio de valparaiso-sp, de propriedade do sr. jose carlos prata cunha, um dos maiores produtores de boi nelore do brasil, pela simples bagatela de r$ 47.000.000,00 (quarenta e sete milhoes de reais).o impressionante nesta trajetoria de sucesso e rara inteligencia e que de um salario de r$ 1.500,00 passou a proprietario, de uma vez so, de um patrimonio de 47 milhoes. o que levaria 2.612 anos.veja so que competencia, logo depois de comprar, levou essa fazenda a ser a primeira a receber o certificado de exportacao de carne para europa.mas nao fica so nisso a competencia deste empreendedor de sucesso, e que empreendedorno para nas regioes de redencao , maraba e carajas, ele comprou de benedito mutran filho, herdeiro do conhecido bene mutran (homem forte da castanha) varias fazendas totalizando r$ 100.000.000,00 isso mesmo. cem milhoes de reais.socios no negocio:duda mendonca e daniel dantas.depois perguntam porque essa bagaca de brasil nao vai pra frente!!! pra pqp com essas m! e ninguem faz nada???;['lulinha', 'nao', 'comprou', 'fazenda', 'fortaleza', 'por', '47', 'milhoes'];{'len': 8, 1: {'token': 'lulinha', 'lemma': 'lula', 'POS': 'NOUN'}, 2: {'token': 'nao', 'lemma': 'nao', 'POS': 'PRON'}, 3: {'token': 'comprou', 'lemma': 'comprar', 'POS': 'VERB'}, 4: {'token': 'fazenda', 'lemma': 'fazenda', 'POS': 'NOUN'}, 5: {'token': 'fortaleza', 'lemma': 'fortalezar', 'POS': 'ADJ'}, 6: {'token': 'por', 'lemma': 'por', 'POS': 'ADP'}, 7: {'token': '47', 'lemma': '47', 'POS': 'NUM'}, 8: {'token': 'milhoes', 'lemma': 'milhoes', 'POS': 'NOUN'}};[Lulinha, Fazenda];fake;boatos.org;https://www.boatos.org/politica/lulinha-fazenda-fortaleza-47-milhoes.html 
Fanta Uva causa câncer e problema nos rins ;fanta uva causa cancer e problema nos rins ;ALERTA GERAL ATENÇÃO” FANTA UVA!!!! A propaganda parou… Porque??????? Reparem… a propaganda quase não se vê mais na mídia… Por que será??? Estamos repassando o e-mail abaixo para conhecimento e prevenção, principalmente para aqueles que bebem este refrigerante: Fanta Uva. Este e-mail está sendo repassado dentro do Hospital que trabalha uma pessoa amiga.Fato já está confirmado: Vinte e três pessoas já passaram pelo Hospital das Clínicas com um mesmo sintoma: falta de atividade renal e o aparecimento de tumores no reto. Todos os internados relataram o começo das dores e a conseqüente internação após ingerirem altas doses de Fanta Uva. Pesquisas realizadas pelo renomado Instituto Fleury, apontaram grande quantidade de Fenofinol, almeido e Voliteral, substâncias tóxicas e que causam, respectivamente, a má atividade dos rins e câncer.Segundo Dr.Paulo José Teixeira, formado pela USP e especialista em Toxicologia, as pessoas não devem ingerir mais o citado refrigerante. A Direção da Coca-Cola já assumiu sua culpa e prometeu indenizar os pacientes e todos aqueles que venham a se contaminar com o refrigerante. Lembre-se: Divulgar a todos de sua família, é a consciência de cada um que deve decidir, mas a nossa deve estar tranqüila.…. Por favor não deixem de repassar esta mensagem para todos que vocês conhecem….;alerta geral atencao fanta uva!!!!a propaganda parouporque??????? reparem a propaganda quase nao se ve mais na midia por que sera???estamos repassando o e-mail abaixo para conhecimento e prevencao, principalmente para aqueles que bebem este refrigerante: fanta uva.este e-mail esta sendo repassado dentro do hospital que trabalha uma pessoa amiga.fato ja esta confirmado: vinte e tres pessoas ja passaram pelo hospital das clinicas com um mesmo sintoma: falta de atividade renal e o aparecimento de tumores no reto. todos os internados relataram o comeco das dores e a consequente internacao apos ingerirem altas doses de fanta uva.pesquisas realizadas pelo renomado instituto fleury, apontaram grande quantidade de fenofinol, almeido e voliteral, substancias toxicas e que causam, respectivamente, a ma atividade dos rins e cancer.segundo dr.paulo jose teixeira, formado pela usp e especialista em toxicologia, as pessoas nao devem ingerir mais o citado refrigerante.a direcao da coca-cola ja assumiu sua culpa e prometeu indenizar os pacientes e todos aqueles que venham a se contaminar com o refrigerante.lembre-se: divulgar a todos de sua familia, e a consciencia de cada um que deve decidir, mas a nossa deve estar tranquila..por favor nao deixem de repassar esta mensagem para todos que voces conhecem.;['fanta', 'uva', 'causa', 'cancer', 'e', 'problema', 'nos', 'rins'];{'len': 8, 1: {'token': 'fanta', 'lemma': 'fanta', 'POS': 'VERB'}, 2: {'token': 'uva', 'lemma': 'uva', 'POS': 'NOUN'}, 3: {'token': 'causa', 'lemma': 'causar', 'POS': 'VERB'}, 4: {'token': 'cancer', 'lemma': 'cancer', 'POS': 'VERB'}, 5: {'token': 'e', 'lemma': 'e', 'POS': 'CCONJ'}, 6: {'token': 'problema', 'lemma': 'problema', 'POS': 'NOUN'}, 7: {'token': 'nos', 'lemma': 'o', 'POS': 'ADP'}, 8: {'token': 'rins', 'lemma': 'rim', 'POS': 'NOUN'}};[Fanta Uva];fake;boatos.org;https://www.boatos.org/saude/fanta-uva-da-cancer-e-problema-nos-rins.html 
Simpsons terá episódio sobre manifestações no Brasil ;simpsons tera episodio sobre manifestacoes no brasil ;;;['simpsons', 'tera', 'episodio', 'sobre', 'manifestacoes', 'no', 'brasil'];{'len': 7, 1: {'token': 'simpsons', 'lemma': 'simpsons', 'POS': 'NOUN'}, 2: {'token': 'tera', 'lemma': 'tera', 'POS': 'ADV'}, 3: {'token': 'episodio', 'lemma': 'episodiar', 'POS': 'NOUN'}, 4: {'token': 'sobre', 'lemma': 'sobrar', 'POS': 'ADP'}, 5: {'token': 'manifestacoes', 'lemma': 'manifestacoes', 'POS': 'NOUN'}, 6: {'token': 'no', 'lemma': 'o', 'POS': 'ADP'}, 7: {'token': 'brasil', 'lemma': 'brasil', 'POS': 'PROPN'}};[Simpsons, Brasil];fake;boatos.org;https://www.boatos.org/entretenimento/simpsons-protestos-brasi.html 
Contato;contato;;;['contato'];{'len': 1, 1: {'token': 'contato', 'lemma': 'contato', 'POS': 'NOUN'}};[];fake;boatos.org;https://www.boatos.org/contato 
Senado aprova bolsa-prostituição de R$ 2 mil por mês ;senado aprova bolsa-prostituicao de r$ 2 mil por mes ;;;['senado', 'aprova', 'bolsa-prostituicao', 'de', 'r$', '2', 'mil', 'por', 'mes'];{'len': 9, 1: {'token': 'senado', 'lemma': 'senado', 'POS': 'NOUN'}, 2: {'token': 'aprova', 'lemma': 'aprovar', 'POS': 'VERB'}, 3: {'token': 'bolsa-prostituicao', 'lemma': 'bolsa-prostituicao', 'POS': 'NOUN'}, 4: {'token': 'de', 'lemma': 'de', 'POS': 'ADP'}, 5: {'token': 'r$', 'lemma': 'r$', 'POS': 'SYM'}, 6: {'token': '2', 'lemma': '2', 'POS': 'NUM'}, 7: {'token': 'mil', 'lemma': 'mil', 'POS': 'NUM'}, 8: {'token': 'por', 'lemma': 'por', 'POS': 'ADP'}, 9: {'token': 'mes', 'lemma': 'mes', 'POS': 'NOUN'}};[Senado, R$];fake;boatos.org;https://www.boatos.org/politica/noticia-falsa-senado-aprova-bolsa-prostituicao-de-r-2-mil-por-mes.html 
Vírus: logotipo da Copa do Mundo tem mensagem subliminar;virus: logotipo da copa do mundo tem mensagem subliminar;;;['virus', ':', 'logotipo', 'da', 'copa', 'do', 'mundo', 'tem', 'mensagem', 'subliminar'];{'len': 10, 1: {'token': 'virus', 'lemma': 'virus', 'POS': 'NOUN'}, 2: {'token': ':', 'lemma': ':', 'POS': 'PUNCT'}, 3: {'token': 'logotipo', 'lemma': 'logotipo', 'POS': 'NOUN'}, 4: {'token': 'da', 'lemma': 'da', 'POS': 'ADP'}, 5: {'token': 'copa', 'lemma': 'copar', 'POS': 'NOUN'}, 6: {'token': 'do', 'lemma': 'do', 'POS': 'ADP'}, 7: {'token': 'mundo', 'lemma': 'mundo', 'POS': 'NOUN'}, 8: {'token': 'tem', 'lemma': 'ter', 'POS': 'VERB'}, 9: {'token': 'mensagem', 'lemma': 'mensagem', 'POS': 'NOUN'}, 10: {'token': 'subliminar', 'lemma': 'subliminar', 'POS': 'VERB'}};[Copa do Mundo];fake;boatos.org;https://www.boatos.org/esporte/virus-logotipo-da-copa-mundo-tem-mensagem-subliminar.html 
Vírus em rede social: Facefollow - Ganhe seguidores no Facebook;virus em rede social: facefollow - ganhe seguidores no facebook;Facefollow – Ganhe seguidores no FacebookAté 50 seguidores no Facebook por dia gratuitamente, entre e torne-se famoso de forma rápida e segura.;facefollow  ganhe seguidores no facebookate 50 seguidores no facebook por dia gratuitamente, entre e torne-se famoso de forma rapida e segura.;['virus', 'em', 'rede', 'social', ':', 'facefollow', '-', 'ganhe', 'seguidores', 'no', 'facebook'];{'len': 11, 1: {'token': 'virus', 'lemma': 'virus', 'POS': 'NOUN'}, 2: {'token': 'em', 'lemma': 'em', 'POS': 'ADP'}, 3: {'token': 'rede', 'lemma': 'redar', 'POS': 'NOUN'}, 4: {'token': 'social', 'lemma': 'social', 'POS': 'ADJ'}, 5: {'token': ':', 'lemma': ':', 'POS': 'PUNCT'}, 6: {'token': 'facefollow', 'lemma': 'facefollow', 'POS': 'PROPN'}, 7: {'token': '-', 'lemma': '-', 'POS': 'PUNCT'}, 8: {'token': 'ganhe', 'lemma': 'ganhar', 'POS': 'VERB'}, 9: {'token': 'seguidores', 'lemma': 'seguidor', 'POS': 'NOUN'}, 10: {'token': 'no', 'lemma': 'o', 'POS': 'ADP'}, 11: {'token': 'facebook', 'lemma': 'facebook', 'POS': 'NOUN'}};[Facefollow, Ganhe, Facebook];fake;boatos.org;https://www.boatos.org/tecnologia/virus-em-rede-social-facefollow-ganhe-seguidores-facebook.html 
Mensagem falsa aponta que WhatsApp vai cobrar 0.37 centavos;mensagem falsa aponta que whatsapp vai cobrar 0.37 centavos;PS: esse artigo foi uma sugestão do leitor (e amigo) Marcos Urupá. Se você quiser sugerir um tema para o Boatos.org, entre em contato com a gente pelo site ou pelo Facebook.  ;ps: esse artigo foi uma sugestao do leitor (e amigo) marcos urupa. se voce quiser sugerir um tema para oboatos.org,entre emcontato com a gente pelo siteou pelofacebook. ;['mensagem', 'falsa', 'aponta', 'que', 'whatsapp', 'vai', 'cobrar', '0.37', 'centavos'];{'len': 9, 1: {'token': 'mensagem', 'lemma': 'mensagem', 'POS': 'NOUN'}, 2: {'token': 'falsa', 'lemma': 'falso', 'POS': 'ADJ'}, 3: {'token': 'aponta', 'lemma': 'apontar', 'POS': 'VERB'}, 4: {'token': 'que', 'lemma': 'que', 'POS': 'SCONJ'}, 5: {'token': 'whatsapp', 'lemma': 'whatsapp', 'POS': 'VERB'}, 6: {'token': 'vai', 'lemma': 'ir', 'POS': 'AUX'}, 7: {'token': 'cobrar', 'lemma': 'cobrar', 'POS': 'VERB'}, 8: {'token': '0.37', 'lemma': '0.37', 'POS': 'NUM'}, 9: {'token': 'centavos', 'lemma': 'centavo', 'POS': 'ADJ'}};[Mensagem];fake;boatos.org;https://www.boatos.org/tecnologia/mensagem-falsa-aponta-que-whatsapp-vai-cobrar-0-37-centavos.html 
